anno,provincia,delitto,eta_alla_data_del_reato_vittima,provincia_uts,codice_provinciauts,codice_provincia_storico,codice_regione,regione,ripartizione_geografica,sigla_automobilistica,provinciauts_corretto,codice_ripartizione_geografica
2022,TORINO,10. MINACCE,0-13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,10. MINACCE,0-13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,10. MINACCE,0-13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,10. MINACCE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,10. MINACCE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,10. MINACCE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,10. MINACCE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,10. MINACCE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,10. MINACCE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,10. MINACCE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,10. MINACCE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,10. MINACCE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,10. MINACCE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,10. MINACCE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,10. MINACCE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,10. MINACCE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,10. MINACCE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,10. MINACCE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,10. MINACCE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,10. MINACCE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,10. MINACCE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,10. MINACCE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,10. MINACCE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
